case_id,slice_idx,inference_time_ms,memory_usage_mb,has_tumor,image_size
case_00154,140,22.744417190551758,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,72,21.585464477539062,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,309,18.369197845458984,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,51,19.888639450073242,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,134,20.099401473999023,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,110,19.1500186920166,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,167,19.19078826904297,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,348,21.04783058166504,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00075,130,19.62447166442871,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00033,23,18.074512481689453,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,92,18.941402435302734,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,375,18.701553344726562,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,56,20.51067352294922,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,293,20.585298538208008,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,41,19.927978515625,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,108,21.353721618652344,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,467,19.40298080444336,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,390,21.320819854736328,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00125,135,26.434659957885742,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,74,19.0427303314209,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00033,33,19.190311431884766,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,301,19.34075355529785,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,321,22.378921508789062,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00102,165,18.85533332824707,0.0,False,"torch.Size([1, 1, 224, 224])"
