true_positive,false_negative,false_positive,class_confusion,fn_percent,fp_percent,cc_percent,error_rate,case_id,slice_idx
0,0,5,0,0.0,100.0,0.0,100.0,case_00194,272
0,0,0,0,0.0,0.0,0.0,0.0,case_00194,37
0,0,0,0,0.0,0.0,0.0,0.0,case_00033,277
0,0,0,0,0.0,0.0,0.0,0.0,case_00194,499
740,15,25,0,37.5,62.5,0.0,5.128205128205129,case_00014,329
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,81
9,0,27,0,0.0,100.0,0.0,75.0,case_00154,140
0,0,0,0,0.0,0.0,0.0,0.0,case_00075,72
556,6,43,0,12.244897959183673,87.75510204081633,0.0,8.099173553719009,case_00086,309
0,0,0,0,0.0,0.0,0.0,0.0,case_00102,51
1338,2,93,0,2.1052631578947367,97.89473684210526,0.0,6.6294487090020935,case_00194,134
0,0,50,0,0.0,100.0,0.0,100.0,case_00161,110
3478,8,116,0,6.451612903225806,93.54838709677419,0.0,3.442531926707385,case_00115,167
1176,5,131,19,3.225806451612903,84.51612903225806,12.258064516129032,11.645379413974455,case_00075,348
281,4,20,0,16.666666666666668,83.33333333333333,0.0,7.868852459016393,case_00075,130
0,0,0,0,0.0,0.0,0.0,0.0,case_00033,23
0,0,0,0,0.0,0.0,0.0,0.0,case_00194,92
0,0,0,0,0.0,0.0,0.0,0.0,case_00125,375
0,0,443,0,0.0,100.0,0.0,100.0,case_00194,56
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,293
0,0,188,0,0.0,100.0,0.0,100.0,case_00203,41
0,0,0,0,0.0,0.0,0.0,0.0,case_00075,108
0,0,225,0,0.0,100.0,0.0,100.0,case_00194,467
3459,22,165,85,8.088235294117647,60.661764705882355,31.25,7.290270704904851,case_00113,390
0,0,0,0,0.0,0.0,0.0,0.0,case_00125,135
0,0,0,0,0.0,0.0,0.0,0.0,case_00154,74
0,0,0,0,0.0,0.0,0.0,0.0,case_00033,33
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,301
2221,23,212,10,9.387755102040817,86.53061224489795,4.081632653061225,9.935117599351177,case_00134,321
1630,6,38,0,13.636363636363637,86.36363636363636,0.0,2.6284348864994027,case_00102,165
0,0,45,0,0.0,100.0,0.0,100.0,case_00154,291
0,0,0,0,0.0,0.0,0.0,0.0,case_00102,501
0,0,0,0,0.0,0.0,0.0,0.0,case_00079,273
135,5,6,0,45.45454545454545,54.54545454545455,0.0,7.534246575342466,case_00133,347
1160,10,28,0,26.31578947368421,73.6842105263158,0.0,3.1719532554257097,case_00154,370
931,16,15,0,51.61290322580645,48.38709677419355,0.0,3.2224532224532223,case_00133,300
0,0,0,0,0.0,0.0,0.0,0.0,case_00086,55
0,0,0,0,0.0,0.0,0.0,0.0,case_00125,118
0,0,0,0,0.0,0.0,0.0,0.0,case_00075,231
0,0,0,0,0.0,0.0,0.0,0.0,case_00161,31
328,4,33,2,10.256410256410257,84.61538461538461,5.128205128205129,10.626702997275205,case_00014,170
0,0,0,0,0.0,0.0,0.0,0.0,case_00154,73
0,0,0,0,0.0,0.0,0.0,0.0,case_00014,113
0,0,0,0,0.0,0.0,0.0,0.0,case_00033,287
0,0,0,0,0.0,0.0,0.0,0.0,case_00125,1
464,11,76,0,12.64367816091954,87.35632183908046,0.0,15.789473684210526,case_00079,209
2204,27,162,0,14.285714285714286,85.71428571428571,0.0,7.898035938152946,case_00102,399
496,14,93,0,13.08411214953271,86.91588785046729,0.0,17.744610281923716,case_00113,311
0,0,121,0,0.0,100.0,0.0,100.0,case_00014,483
0,0,0,0,0.0,0.0,0.0,0.0,case_00154,27
2106,11,108,34,7.189542483660131,70.58823529411765,22.22222222222222,6.772908366533865,case_00079,381
355,9,24,29,14.516129032258064,38.70967741935484,46.774193548387096,14.86810551558753,case_00086,397
0,0,0,0,0.0,0.0,0.0,0.0,case_00033,309
0,0,8,0,0.0,100.0,0.0,100.0,case_00086,429
0,0,0,0,0.0,0.0,0.0,0.0,case_00133,498
189,9,22,0,29.032258064516128,70.96774193548387,0.0,14.090909090909092,case_00194,193
0,0,0,0,0.0,0.0,0.0,0.0,case_00154,95
0,0,0,0,0.0,0.0,0.0,0.0,case_00014,145
0,0,0,0,0.0,0.0,0.0,0.0,case_00194,451
903,39,151,0,20.526315789473685,79.47368421052632,0.0,17.38334858188472,case_00154,201
0,0,0,0,0.0,0.0,0.0,0.0,case_00154,457
0,0,0,0,0.0,0.0,0.0,0.0,case_00086,214
0,0,0,0,0.0,0.0,0.0,0.0,case_00133,252
0,0,0,0,0.0,0.0,0.0,0.0,case_00125,412
0,0,0,0,0.0,0.0,0.0,0.0,case_00102,508
0,0,8,0,0.0,100.0,0.0,100.0,case_00133,64
0,0,9,0,0.0,100.0,0.0,100.0,case_00133,228
306,6,23,0,20.689655172413794,79.3103448275862,0.0,8.656716417910447,case_00125,304
0,0,805,0,0.0,100.0,0.0,100.0,case_00113,508
0,0,24,0,0.0,100.0,0.0,100.0,case_00033,268
0,0,685,0,0.0,100.0,0.0,100.0,case_00014,436
0,0,0,0,0.0,0.0,0.0,0.0,case_00125,122
701,6,63,0,8.695652173913043,91.30434782608695,0.0,8.96103896103896,case_00203,373
0,0,0,0,0.0,0.0,0.0,0.0,case_00133,209
0,0,43,0,0.0,100.0,0.0,100.0,case_00113,510
1319,85,143,0,37.280701754385966,62.719298245614034,0.0,14.73820297349709,case_00161,345
1643,28,129,59,12.962962962962964,59.72222222222222,27.314814814814813,11.619150080688541,case_00154,338
0,0,0,0,0.0,0.0,0.0,0.0,case_00133,68
0,0,0,0,0.0,0.0,0.0,0.0,case_00194,236
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,478
0,0,0,0,0.0,0.0,0.0,0.0,case_00133,460
0,0,0,0,0.0,0.0,0.0,0.0,case_00075,267
0,0,0,0,0.0,0.0,0.0,0.0,case_00014,22
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,85
665,21,74,0,22.105263157894736,77.89473684210526,0.0,12.5,case_00161,216
0,0,0,0,0.0,0.0,0.0,0.0,case_00125,134
0,0,0,0,0.0,0.0,0.0,0.0,case_00075,286
889,9,87,0,9.375,90.625,0.0,9.746192893401016,case_00014,219
0,0,0,0,0.0,0.0,0.0,0.0,case_00125,6
429,35,47,0,42.68292682926829,57.31707317073171,0.0,16.046966731898237,case_00203,352
1386,45,60,46,29.801324503311257,39.735099337748345,30.4635761589404,9.824333116460638,case_00161,149
0,0,869,0,0.0,100.0,0.0,100.0,case_00134,68
0,0,82,0,0.0,100.0,0.0,100.0,case_00125,240
1057,20,21,35,26.31578947368421,27.63157894736842,46.05263157894737,6.707855251544572,case_00133,156
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,491
0,0,0,0,0.0,0.0,0.0,0.0,case_00154,253
0,0,213,0,0.0,100.0,0.0,100.0,case_00086,456
4444,23,143,62,10.087719298245615,62.719298245614034,27.19298245614035,4.88013698630137,case_00102,358
0,0,176,0,0.0,100.0,0.0,100.0,case_00075,406
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,451
0,0,0,0,0.0,0.0,0.0,0.0,case_00075,463
0,0,0,0,0.0,0.0,0.0,0.0,case_00079,474
0,0,0,0,0.0,0.0,0.0,0.0,case_00194,227
0,0,0,0,0.0,0.0,0.0,0.0,case_00115,62
0,0,329,0,0.0,100.0,0.0,100.0,case_00113,451
0,0,0,0,0.0,0.0,0.0,0.0,case_00079,25
0,0,0,0,0.0,0.0,0.0,0.0,case_00194,91
0,0,42,0,0.0,100.0,0.0,100.0,case_00102,216
2851,20,182,0,9.900990099009901,90.0990099009901,0.0,6.616442843105142,case_00113,168
0,0,0,0,0.0,0.0,0.0,0.0,case_00161,468
574,1,104,0,0.9523809523809523,99.04761904761905,0.0,15.463917525773196,case_00102,200
1106,14,152,0,8.433734939759036,91.56626506024097,0.0,13.050314465408805,case_00075,327
1105,29,120,15,17.682926829268293,73.17073170731707,9.146341463414634,12.923561859732072,case_00194,174
833,6,36,0,14.285714285714286,85.71428571428571,0.0,4.8,case_00125,161
0,0,0,0,0.0,0.0,0.0,0.0,case_00079,255
0,0,128,0,0.0,100.0,0.0,100.0,case_00194,18
1698,15,29,0,34.09090909090909,65.9090909090909,0.0,2.5258323765786455,case_00154,162
0,0,107,0,0.0,100.0,0.0,100.0,case_00154,267
1237,53,126,52,22.943722943722943,54.54545454545455,22.51082251082251,15.735694822888284,case_00154,327
0,0,0,0,0.0,0.0,0.0,0.0,case_00014,250
1027,61,104,36,30.34825870646766,51.74129353233831,17.91044776119403,16.368078175895764,case_00102,300
0,0,47,0,0.0,100.0,0.0,100.0,case_00161,398
978,10,125,0,7.407407407407407,92.5925925925926,0.0,12.129380053908356,case_00014,216
0,0,0,0,0.0,0.0,0.0,0.0,case_00125,459
0,0,0,0,0.0,0.0,0.0,0.0,case_00014,504
0,0,0,0,0.0,0.0,0.0,0.0,case_00194,280
0,0,0,0,0.0,0.0,0.0,0.0,case_00014,458
0,0,66,0,0.0,100.0,0.0,100.0,case_00125,221
0,0,0,0,0.0,0.0,0.0,0.0,case_00075,56
0,0,0,0,0.0,0.0,0.0,0.0,case_00161,105
0,0,0,0,0.0,0.0,0.0,0.0,case_00154,504
598,13,93,0,12.264150943396226,87.73584905660377,0.0,15.056818181818182,case_00203,361
0,0,448,0,0.0,100.0,0.0,100.0,case_00154,103
0,0,6,0,0.0,100.0,0.0,100.0,case_00161,88
576,10,46,0,17.857142857142858,82.14285714285714,0.0,8.860759493670885,case_00086,312
1006,13,126,0,9.352517985611511,90.64748201438849,0.0,12.139737991266376,case_00014,215
0,0,7,0,0.0,100.0,0.0,100.0,case_00133,76
0,0,11,0,0.0,100.0,0.0,100.0,case_00125,438
0,0,0,0,0.0,0.0,0.0,0.0,case_00161,418
0,0,0,0,0.0,0.0,0.0,0.0,case_00194,36
128,1,14,0,6.666666666666667,93.33333333333333,0.0,10.48951048951049,case_00203,335
147,12,12,0,50.0,50.0,0.0,14.035087719298245,case_00125,367
921,7,111,0,5.932203389830509,94.0677966101695,0.0,11.357074109720886,case_00075,190
